"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\.env", "Properties", 0, 0, 0, 5, 0, 0, 5
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\archive\eventCreateHandler.js", "JavaScript", 0, 182, 0, 0, 9, 30, 221
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\archive\eventCreator.js", "JavaScript", 0, 29, 0, 0, 0, 5, 34
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\nodemon.json", "JSON", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\package-lock.json", "JSON", 0, 0, 2935, 0, 0, 1, 2936
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\package.json", "JSON", 0, 0, 27, 0, 0, 1, 28
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\backend\backend.js", "JavaScript", 0, 74, 0, 0, 6, 14, 94
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\backend\uploadToDB.js", "JavaScript", 0, 29, 0, 0, 0, 5, 34
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Community\pb.js", "JavaScript", 0, 13, 0, 0, 0, 3, 16
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Developer\fahrerbewerbungCreator.js", "JavaScript", 0, 24, 0, 0, 0, 5, 29
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Developer\getDBData.js", "JavaScript", 0, 34, 0, 0, 2, 6, 42
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Developer\numberMessageCreator.js", "JavaScript", 0, 32, 0, 0, 0, 4, 36
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Developer\ping.js", "JavaScript", 0, 22, 0, 0, 0, 5, 27
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Developer\ticketTool.js", "JavaScript", 0, 22, 0, 0, 0, 5, 27
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Moderator\addToTicket.js", "JavaScript", 0, 30, 0, 0, 1, 8, 39
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Moderator\ban.js", "JavaScript", 0, 31, 0, 0, 0, 5, 36
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Moderator\closeTicket.js", "JavaScript", 0, 31, 0, 0, 0, 4, 35
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Moderator\kick.js", "JavaScript", 0, 31, 0, 0, 0, 7, 38
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Moderator\removeFromTicket.js", "JavaScript", 0, 34, 0, 0, 1, 8, 43
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\commands\Moderator\transferTeam.js", "JavaScript", 0, 56, 0, 0, 0, 11, 67
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\data\latestVideoIds.json", "JSON", 0, 0, 3, 0, 0, 0, 3
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\data\pingAnswers.json", "JSON", 0, 0, 20, 0, 0, 1, 21
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\data\ticket_counter.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\data\tracks.json", "JSON", 0, 0, 98, 0, 0, 0, 98
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\events\applycation.js", "JavaScript", 0, 176, 0, 0, 4, 20, 200
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\events\createTicket.js", "JavaScript", 0, 223, 0, 0, 0, 29, 252
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\events\guildMemberAdd.js", "JavaScript", 0, 27, 0, 0, 0, 8, 35
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\events\guildMemberRemove.js", "JavaScript", 0, 31, 0, 0, 1, 10, 42
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\events\interactionCreate.js", "JavaScript", 0, 18, 0, 0, 0, 3, 21
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\functions\dataClient.js", "JavaScript", 0, 25, 0, 0, 1, 3, 29
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\functions\handelCommands.js", "JavaScript", 0, 36, 0, 0, 0, 7, 43
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\functions\handelEvents.js", "JavaScript", 0, 12, 0, 0, 0, 1, 13
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\functions\loadNumbers.js", "JavaScript", 0, 18, 0, 0, 0, 2, 20
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\functions\loadSettings.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\functions\loadTracks.js", "JavaScript", 0, 12, 0, 0, 0, 1, 13
"c:\Users\Yannick\OneDrive - OSZ IMT\Dokumente\bot\fsgbot-1\bot\src\functions\ttvNotify.js", "JavaScript", 0, 43, 0, 0, 0, 8, 51
